publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	coverage_notes	publisher_name	location	title_notes	staff_notes	vendor_id	oclc_collection_name	oclc_collection_id	oclc_entry_id	oclc_linkscheme	oclc_number	ACTION
Nature Reviews Endocrinology		1759-5037	2015-07-21			2018-07-26			https://www.nature.com/nrendo		nrendo		fulltext		Nature Publishing Group					Nature Open Access Content	NPG.openAccess	40067097	npg	317573463	raw
Nature Reviews Genetics		1471-0064	2018-07-11			2018-07-11			https://www.nature.com/nrg		nrg		fulltext		Nature Publishing Group					Nature Open Access Content	NPG.openAccess	40067099	npg	45495502	raw
Leukemia	0887-6924	1476-5551	2010-04-29			2018-09-14			https://www.nature.com/leu		leu		fulltext		Nature Publishing Group					Nature Open Access Content	NPG.openAccess	944697	npg	321283715	raw
Mucosal Immunology	1933-0219	1935-3456	2010-07-14			2018-07-09			https://www.nature.com/mi		mi		fulltext		Nature Publishing Group					Nature Open Access Content	NPG.openAccess	6735994	npg	967819818	raw
npj Biofilms and Microbiomes		2055-5008	2015-03-25			2018-09-05			https://www.nature.com/npjbiofilms		npjbiofilms		fulltext		Nature Publishing Group					Nature Open Access Content	NPG.openAccess	40067109	npg	915032612	raw
Journal of Perinatology	0743-8346	1476-5543	2009-04-09			2018-08-31			https://www.nature.com/jp		jp		fulltext		Nature Publishing Group					Nature Open Access Content	NPG.openAccess	944694	npg	742072182	raw
npj Digital Medicine		2398-6352	2018-01-15			2018-09-13			https://www.nature.com/npjdigitalmed		npjdigitalmed		fulltext		Nature Publishing Group					Nature Open Access Content	NPG.openAccess	40067114	npg	1015973865	raw
Nature Reviews Cardiology		1759-5010	2015-12-24			2017-09-07			https://www.nature.com/nrcardio		nrcardio		fulltext		Nature Publishing Group					Nature Open Access Content	NPG.openAccess	40067095	npg	317564509	raw
Cell Research	1001-0602	1748-7838	1990	1	1				https://www.nature.com/cr		cr		fulltext		Nature Publishing Group					Nature Open Access Content	NPG.openAccess	944679	npg	60638450	raw
Laboratory Investigation	0023-6837	1530-0307	2010-10-25			2018-08-08			https://www.nature.com/labinvest		labinvest		fulltext		Nature Publishing Group					Nature Open Access Content	NPG.openAccess	944696	npg	44003711	raw
Heredity	0018-067X	1365-2540	2011-03-30			2018-09-12			https://www.nature.com/hdy		hdy		fulltext		Nature Publishing Group					Nature Open Access Content	NPG.openAccess	944686	npg	37447305	raw
npj Quantum Materials		2397-4648	2016-07-27			2018-09-14			https://www.nature.com/npjquantmats		npjquantmats		fulltext		Nature Publishing Group					Nature Open Access Content	NPG.openAccess	40067123	npg	999478007	raw
Molecular Psychiatry	1359-4184	1476-5578	2009-04-28			2018-09-13			https://www.nature.com/mp		mp		fulltext		Nature Publishing Group					Nature Open Access Content	NPG.openAccess	944699	npg	779678728	raw
npj Climate and Atmospheric Science		2397-3722	2018-01-09			2018-09-11			https://www.nature.com/npjclimatsci		npjclimatsci		fulltext		Nature Publishing Group					Nature Open Access Content	NPG.openAccess	40067112	npg	1048166745	raw
Bone Marrow Transplantation		1476-5365	2010-06-07			2018-08-22			https://www.nature.com/bmt		bmt		fulltext		Nature Publishing Group					Nature Open Access Content	NPG.openAccess	944675	npg	39502202	raw
Nature Plants		2055-0278	2016-05-23			2018-07-02			https://www.nature.com/nplants		nplants		fulltext		Nature Publishing Group					Nature Open Access Content	NPG.openAccess	40067093	npg	901004440	raw
Cell Death Discovery		2058-7716	2015-07-27			2018-09-12			https://www.nature.com/cddiscovery		cddiscovery		fulltext		Nature Publishing Group					Nature Open Access Content	NPG.openAccess	40067068	npg	926100762	raw
Emerging Microbes and Infections		2222-1751	2012-07-11			2018-09-12			https://www.nature.com/emi		emi		fulltext		Nature Publishing Group					Nature Open Access Content	NPG.openAccess	40067074	npg	1051817076	raw
npj Regenerative Medicine		2057-3995	2016-06-09			2018-09-04			https://www.nature.com/npjregenmed		npjregenmed		fulltext		Nature Publishing Group					Nature Open Access Content	NPG.openAccess	40067124	npg	947095166	raw
Cellular and Molecular Immunology	1672-7681	2042-0226	2012-10-22			2018-06-15			https://www.nature.com/cmi		cmi		fulltext		Nature Publishing Group					Nature Open Access Content	NPG.openAccess	13017410	npg	72590238	raw
Nature Methods		1548-7105	2012-04-27			2017-10-02			https://www.nature.com/nmeth		nmeth		fulltext		Nature Publishing Group					Nature Open Access Content	NPG.openAccess	40067090	npg	54447485	raw
Oncogene	0950-9232	1476-5594	2010-07-05			2018-09-07			https://www.nature.com/onc		onc		fulltext		Nature Publishing Group					Nature Open Access Content	NPG.openAccess	944701	npg	60648794	raw
Pharmacogenomics Journal	1470-269X	1473-1150	2009-04-21			2018-09-12			https://www.nature.com/tpj		tpj		fulltext		Nature Publishing Group					Nature Open Access Content	NPG.openAccess	944702	npg	980116149	raw
Spinal Cord Series and Cases		2058-6124	2017-02-02			2018-08-08			https://www.nature.com/scsandc		scsandc		fulltext		Nature Publishing Group					Nature Open Access Content	NPG.openAccess	40067136	npg	947932389	raw
npj Flexible Electronics		2397-4621	2017-09-26			2018-09-10			https://www.nature.com/npjflexelectron		npjflexelectron		fulltext		Nature Publishing Group					Nature Open Access Content	NPG.openAccess	40067115	npg	1022731531	raw
British Dental Journal		1476-5373	2013-08-23			2018-01-12			https://www.nature.com/bdj		bdj		fulltext		Nature Publishing Group					Nature Open Access Content	NPG.openAccess	40067065	npg	50584543	raw
Bone Research		2095-6231	2014-04-29			2018-09-11			https://www.nature.com/boneres		boneres		fulltext		Nature Publishing Group					Nature Open Access Content	NPG.openAccess	40067064	npg	1064532613	raw
Clinical and Translational Gastroenterology		2155-384X	2010-10-21			2018-09-12			https://www.nature.com/ctg		ctg		fulltext		Nature Publishing Group					Nature Open Access Content	NPG.openAccess	40067070	npg	630133569	raw
Journal of Human Genetics	1434-5161	1435-232X	2013-05-02			2018-09-05			https://www.nature.com/jhg		jhg		fulltext		Nature Publishing Group					Nature Open Access Content	NPG.openAccess	2661068	npg	43048031	raw
